timestamp,Q,I,F
27,9.67,35.25,4104.00
58,-5.98,19.98,131328.00
89,12.57,35.75,4104.00
120,-7.95,26.00,131328.00
152,11.85,36.61,4104.00
183,-7.75,26.13,131328.00
214,11.80,36.58,4104.00
245,-7.94,26.19,131328.00
276,12.09,36.84,4104.00
307,-7.95,26.22,131328.00
339,12.10,36.48,4104.00
370,-7.77,26.23,131328.00
401,11.99,36.80,4104.00
432,-7.96,26.35,131328.00
463,11.98,36.81,4104.00
495,-7.85,26.10,131328.00
526,11.79,36.71,4104.00
557,-7.78,26.35,131328.00
588,11.99,36.52,4104.00
619,-7.64,26.17,131328.00
651,12.04,36.39,4104.00
682,-7.87,26.13,131328.00
713,11.84,36.66,4104.00
744,-7.74,26.28,131328.00
775,11.84,36.68,4104.00
807,-7.83,26.25,131328.00
838,11.98,36.65,4104.00
869,-7.86,26.35,131328.00
900,11.96,36.68,4104.00
931,-7.86,26.41,131328.00
962,12.18,36.60,4104.00
994,-7.75,26.64,131328.00
1025,12.08,36.89,4104.00
1056,-7.83,26.69,131328.00
1087,12.32,36.72,4104.00
1118,-7.94,26.76,131328.00
1150,12.10,36.74,4104.00
1181,-7.56,26.92,131328.00
1212,12.10,36.63,4104.00
1243,-7.75,26.90,131328.00
1274,12.25,36.60,4104.00
1306,-7.80,27.03,131328.00
1337,12.24,36.58,4104.00
1368,-7.48,27.22,131328.00
1399,12.14,37.08,4104.00
1430,-7.67,27.65,131328.00
1461,12.45,37.16,4104.00
1493,-7.69,27.81,131328.00
1524,12.29,37.04,4104.00
1555,-7.65,27.92,131328.00
1586,12.51,36.85,4104.00
1617,-7.75,28.05,131328.00
1649,12.58,37.37,4104.00
1680,-7.77,28.23,131328.00
1711,12.37,37.38,4104.00
1742,-7.79,28.54,131328.00
1773,12.46,37.45,4104.00
1805,-7.70,28.76,131328.00
1836,12.60,37.52,4104.00
1867,-7.78,29.08,131328.00
1898,12.93,37.32,4104.00
1929,-7.38,29.47,131328.00
1961,12.86,37.63,4104.00
1992,-7.79,29.99,131328.00
2023,12.94,37.99,4104.00
2054,-7.47,30.42,131328.00
2085,13.26,38.16,4104.00
2116,-7.65,30.97,131328.00
2148,13.31,38.70,4104.00
2179,-7.88,31.31,131328.00
2210,13.32,38.77,4104.00
2241,-7.89,31.96,131328.00
2272,13.74,39.36,4104.00
2304,-7.70,32.51,131328.00
2335,13.92,39.40,4104.00
2366,-7.90,33.19,131328.00
2397,14.05,39.97,4104.00
2428,-7.85,33.64,131328.00
2460,14.15,40.14,4104.00
2491,-7.72,34.07,131328.00
2522,14.45,40.12,4104.00
2553,-7.77,34.40,131328.00
2584,14.37,40.40,4104.00
2615,-7.91,34.53,131328.00
2647,14.59,40.61,4104.00
2678,-7.89,34.73,131328.00
2709,14.55,40.82,4104.00
2740,-7.83,34.92,131328.00
2771,14.55,41.07,4104.00
2803,-7.89,35.16,131328.00
2834,14.52,41.11,4104.00
2865,-7.93,35.21,131328.00
2896,14.56,41.01,4104.00
2927,-7.72,35.10,131328.00
2959,14.61,41.14,4104.00
2990,-7.76,35.30,131328.00
3021,14.46,41.00,4104.00
3052,-7.86,34.99,131328.00
3083,14.45,40.88,4104.00
3115,-7.58,34.75,131328.00
3146,14.63,40.47,4104.00
3177,-7.71,34.36,131328.00
3208,14.45,40.27,4104.00
3239,-7.69,33.95,131328.00
3270,14.19,40.20,4104.00
3302,-7.72,33.58,131328.00
3333,14.10,40.01,4104.00
3364,-7.66,33.05,131328.00
3395,14.08,39.40,4104.00
3426,-7.56,32.80,131328.00
3458,13.79,39.41,4104.00
3489,-7.63,32.54,131328.00
3520,13.81,39.13,4104.00
3551,-7.54,32.15,131328.00
3582,13.69,39.09,4104.00
3614,-7.72,31.83,131328.00
3645,13.49,39.07,4104.00
3676,-7.54,31.53,131328.00
3707,13.36,38.67,4104.00
3738,-7.61,31.38,131328.00
3769,13.34,38.73,4104.00
3801,-7.36,30.90,131328.00
3832,13.35,38.29,4104.00
3863,-7.58,30.48,131328.00
3894,13.16,38.30,4104.00
3925,-7.52,30.05,131328.00
3957,13.12,37.65,4104.00
3988,-7.39,29.76,131328.00
4019,12.96,37.34,4104.00
4050,-7.28,29.44,131328.00
4081,12.86,37.18,4104.00
4113,-7.34,29.29,131328.00
4144,12.69,37.38,4104.00
4175,-7.17,29.15,131328.00
4206,12.65,37.42,4104.00
4237,-7.37,28.94,131328.00
4269,12.55,37.26,4104.00
4300,-7.30,28.74,131328.00
4331,12.62,37.33,4104.00
4362,-7.39,28.35,131328.00
4393,12.54,37.18,4104.00
4424,-7.39,28.29,131328.00
4456,12.49,37.19,4104.00
4487,-7.42,28.12,131328.00
4518,12.41,37.05,4104.00
4549,-7.57,28.08,131328.00
4580,12.69,37.28,4104.00
4612,-7.53,27.94,131328.00
4643,12.47,37.05,4104.00
4674,-7.81,27.77,131328.00
4705,12.57,37.29,4104.00
4736,-7.61,27.61,131328.00
4768,12.51,37.34,4104.00
4799,-7.71,27.35,131328.00
4830,12.38,37.28,4104.00
4861,-7.52,27.56,131328.00
4892,12.31,37.36,4104.00
4923,-7.61,27.31,131328.00
4955,12.28,37.28,4104.00
4986,-7.64,27.30,131328.00
5017,12.45,37.35,4104.00
5048,-7.63,27.36,131328.00
5079,12.34,37.28,4104.00
5111,-7.70,27.25,131328.00
5142,12.32,37.19,4104.00
5173,-7.71,27.06,131328.00
5204,12.39,37.47,4104.00
5235,-7.87,27.00,131328.00
5267,12.25,37.18,4104.00
5298,-7.73,27.02,131328.00
5329,12.45,37.52,4104.00
5360,-7.53,26.93,131328.00
5391,12.36,37.20,4104.00
5423,-7.69,26.98,131328.00
5454,12.43,37.42,4104.00
5485,-7.82,26.87,131328.00
5516,12.42,37.16,4104.00
5547,-7.67,26.98,131328.00
5578,12.37,37.33,4104.00
5610,-7.82,26.83,131328.00
5641,12.28,37.02,4104.00
5672,-7.78,26.78,131328.00
5703,12.26,37.25,4104.00
5734,-7.51,26.75,131328.00
5766,12.27,37.22,4104.00
5797,-7.71,26.82,131328.00
5828,12.34,37.03,4104.00
5859,-7.81,26.82,131328.00
5890,12.30,37.15,4104.00
5922,-7.84,26.92,131328.00
5953,12.42,36.90,4104.00
5984,-7.77,26.76,131328.00
6015,12.47,36.95,4104.00
6046,-7.69,26.90,131328.00
6077,12.40,37.03,4104.00
6109,-7.75,27.01,131328.00
6140,12.37,37.36,4104.00
6171,-7.77,27.09,131328.00
6202,12.47,37.50,4104.00
6233,-7.52,27.27,131328.00
6265,12.41,37.26,4104.00
6296,-7.71,27.48,131328.00
6327,12.54,37.10,4104.00
6358,-7.42,27.47,131328.00
6389,12.47,37.02,4104.00
6421,-7.52,27.70,131328.00
6452,12.45,37.31,4104.00
6483,-7.36,27.74,131328.00
6514,12.46,37.17,4104.00
6545,-7.42,27.94,131328.00
6576,12.67,37.66,4104.00
6608,-7.48,28.27,131328.00
6639,12.75,37.46,4104.00
6670,-7.35,28.46,131328.00
6701,12.65,37.71,4104.00
6732,-7.61,28.56,131328.00
6764,12.71,37.89,4104.00
6795,-7.62,28.80,131328.00
6826,12.96,37.50,4104.00
6857,-7.70,28.93,131328.00
6888,12.94,37.75,4104.00
6920,-7.42,29.27,131328.00
6951,12.75,38.03,4104.00
6982,-7.59,29.60,131328.00
7013,12.90,38.12,4104.00
7044,-7.55,29.74,131328.00
7076,12.83,38.13,4104.00
7107,-7.35,29.78,131328.00
7138,13.01,38.29,4104.00
7169,-7.36,29.85,131328.00
7200,13.07,37.81,4104.00
