ax,ay,az
0,0.05,0.65,0.75
9,0.05,0.65,0.75
19,0.04,0.66,0.75
28,0.05,0.66,0.75
38,0.05,0.65,0.75
48,0.05,0.65,0.75
57,0.05,0.65,0.76
67,0.04,0.64,0.77
76,0.04,0.64,0.77
86,0.04,0.64,0.77
96,0.04,0.64,0.77
105,0.04,0.64,0.77
115,0.04,0.64,0.76
125,0.05,0.64,0.75
134,0.05,0.65,0.75
144,0.05,0.66,0.75
153,0.05,0.66,0.74
163,0.05,0.66,0.75
173,0.05,0.65,0.75
182,0.05,0.65,0.75
192,0.04,0.64,0.76
201,0.04,0.64,0.76
211,0.04,0.65,0.76
221,0.04,0.65,0.75
230,0.05,0.65,0.75
240,0.04,0.64,0.76
250,0.04,0.64,0.75
259,0.04,0.65,0.75
269,0.04,0.65,0.75
278,0.04,0.65,0.75
288,0.04,0.65,0.75
298,0.04,0.65,0.75
307,0.04,0.65,0.76
317,0.04,0.65,0.76
326,0.04,0.65,0.76
336,0.04,0.64,0.76
346,0.04,0.64,0.76
355,0.04,0.64,0.76
365,0.04,0.64,0.76
375,0.04,0.64,0.76
384,0.04,0.64,0.76
394,0.04,0.65,0.75
403,0.04,0.65,0.75
413,0.04,0.65,0.75
423,0.04,0.64,0.75
432,0.04,0.65,0.75
442,0.04,0.65,0.75
451,0.04,0.65,0.75
461,0.04,0.65,0.75
471,0.04,0.64,0.76
480,0.04,0.64,0.76
490,0.04,0.64,0.76
500,0.04,0.65,0.76
509,0.04,0.65,0.76
519,0.04,0.65,0.76
528,0.04,0.64,0.76
538,0.04,0.64,0.75
548,0.04,0.65,0.75
557,0.04,0.65,0.75
567,0.04,0.65,0.75
576,0.04,0.65,0.75
586,0.04,0.65,0.75
596,0.04,0.65,0.75
605,0.04,0.64,0.75
615,0.05,0.64,0.75
625,0.04,0.64,0.75
634,0.04,0.65,0.75
644,0.04,0.65,0.75
653,0.04,0.65,0.75
663,0.04,0.65,0.75
673,0.04,0.65,0.76
682,0.04,0.64,0.77
692,0.04,0.64,0.77
701,0.04,0.64,0.77
711,0.04,0.64,0.77
721,0.04,0.64,0.76
730,0.04,0.64,0.76
740,0.04,0.64,0.76
750,0.04,0.64,0.76
759,0.04,0.64,0.75
769,0.04,0.65,0.75
778,0.04,0.65,0.75
788,0.04,0.65,0.75
798,0.04,0.65,0.75
807,0.04,0.65,0.75
817,0.04,0.65,0.75
826,0.04,0.64,0.75
836,0.04,0.65,0.76
846,0.04,0.65,0.76
855,0.04,0.64,0.76
865,0.04,0.64,0.76
875,0.04,0.64,0.76
884,0.04,0.64,0.76
894,0.04,0.64,0.76
903,0.04,0.65,0.76
913,0.04,0.64,0.75
923,0.04,0.64,0.76
932,0.04,0.64,0.76
942,0.04,0.64,0.76
951,0.04,0.65,0.76
961,0.04,0.64,0.76
971,0.04,0.65,0.76
980,0.04,0.65,0.76
990,0.04,0.64,0.76
1000,0.04,0.64,0.77
1009,0.03,0.64,0.77
1019,0.03,0.64,0.77
1028,0.03,0.64,0.76
1038,0.03,0.64,0.76
1048,0.05,0.63,0.76
1057,0.05,0.63,0.76
1067,0.05,0.63,0.75
1076,0.04,0.65,0.75
1086,0.04,0.66,0.75
1096,0.04,0.66,0.75
1105,0.05,0.65,0.75
1115,0.04,0.66,0.75
1125,0.04,0.66,0.75
1134,0.04,0.65,0.75
1144,0.05,0.66,0.75
1153,0.05,0.66,0.75
1163,0.05,0.66,0.75
1173,0.04,0.65,0.75
1182,0.04,0.65,0.75
1192,0.05,0.64,0.76
1201,0.05,0.64,0.76
1211,0.04,0.63,0.76
1221,0.04,0.64,0.76
1230,0.04,0.64,0.75
1240,0.05,0.65,0.75
1250,0.04,0.65,0.75
1259,0.04,0.65,0.75
1269,0.04,0.65,0.76
1278,0.03,0.65,0.76
1288,0.03,0.64,0.76
1298,0.03,0.65,0.76
1307,0.03,0.65,0.76
1317,0.04,0.65,0.76
1326,0.04,0.64,0.76
1336,0.04,0.64,0.76
1346,0.04,0.64,0.76
1355,0.04,0.64,0.76
1365,0.04,0.64,0.76
1375,0.03,0.64,0.76
1384,0.05,0.65,0.76
1394,0.06,0.65,0.77
1403,0.05,0.64,0.77
1413,0.05,0.64,0.76
1423,0.05,0.64,0.76
1432,0.05,0.64,0.76
1442,0.05,0.65,0.75
1451,0.05,0.65,0.75
1461,0.05,0.66,0.75
1471,0.05,0.66,0.75
1480,0.05,0.66,0.75
1490,0.04,0.65,0.75
1500,0.04,0.64,0.75
1509,0.04,0.65,0.75
1519,0.04,0.65,0.76
1528,0.05,0.65,0.75
1538,0.05,0.65,0.75
1548,0.04,0.65,0.75
1557,0.05,0.66,0.75
1567,0.05,0.66,0.75
1576,0.05,0.66,0.74
1586,0.04,0.65,0.75
1596,0.04,0.65,0.75
1605,0.03,0.65,0.75
1615,0.04,0.64,0.76
1625,0.04,0.64,0.76
1634,0.04,0.65,0.75
1644,0.04,0.66,0.75
1653,0.04,0.66,0.75
1663,0.03,0.66,0.75
1673,0.03,0.65,0.76
1682,0.04,0.65,0.76
1692,0.04,0.64,0.75
1701,0.05,0.64,0.75
1711,0.05,0.64,0.75
1721,0.04,0.64,0.75
1730,0.03,0.64,0.76
1740,0.03,0.65,0.76
1750,0.04,0.65,0.76
1759,0.04,0.65,0.75
1769,0.04,0.65,0.75
1778,0.05,0.65,0.75
1788,0.05,0.65,0.75
1798,0.05,0.65,0.76
1807,0.04,0.64,0.76
1817,0.04,0.65,0.76
1826,0.05,0.65,0.76
1836,0.05,0.66,0.76
1846,0.05,0.65,0.77
1855,0.05,0.65,0.77
1865,0.05,0.64,0.78
1875,0.06,0.63,0.77
1884,0.06,0.63,0.77
1894,0.06,0.64,0.76
1903,0.06,0.64,0.76
1913,0.06,0.64,0.75
1923,0.05,0.65,0.75
1932,0.04,0.65,0.76
1942,0.04,0.65,0.76
1951,0.04,0.65,0.75
1961,0.05,0.65,0.75
1971,0.05,0.65,0.74
1980,0.05,0.66,0.73
1990,0.04,0.66,0.74
2000,0.03,0.66,0.75
2009,0.02,0.65,0.77
2019,0.02,0.65,0.78
2028,0.02,0.64,0.77
2038,0.02,0.64,0.77
2048,0.02,0.64,0.77
2057,0.02,0.64,0.77
2067,0.01,0.65,0.77
2076,0.01,0.65,0.78
2086,0.01,0.64,0.77
2096,0.01,0.64,0.77
2105,0.01,0.63,0.77
2115,0.01,0.63,0.78
2125,0.01,0.64,0.77
2134,0.02,0.64,0.76
2144,0.02,0.64,0.75
2153,0.02,0.65,0.74
2163,0.03,0.65,0.73
2173,0.03,0.65,0.74
2182,0.02,0.65,0.75
2192,0.02,0.65,0.76
2201,0.01,0.64,0.77
2211,0.01,0.63,0.76
2221,0.01,0.63,0.76
2230,0.02,0.64,0.76
2240,0.02,0.64,0.76
2250,0.02,0.65,0.77
2259,0.02,0.64,0.77
2269,0.02,0.63,0.77
2278,0.02,0.63,0.77
2288,0.02,0.63,0.78
2298,0.02,0.62,0.78
2307,0.01,0.63,0.78
2317,0.01,0.63,0.78
2326,0.02,0.63,0.78
2336,0.02,0.63,0.77
2346,0.02,0.64,0.77
2355,0.02,0.64,0.76
2365,0.01,0.64,0.77
2375,0.01,0.63,0.77
2384,0.01,0.63,0.77
2394,0.01,0.63,0.77
2403,0.01,0.63,0.77
2413,0.02,0.63,0.76
2423,0.01,0.63,0.77
2432,0.01,0.64,0.77
2442,0.01,0.63,0.77
2451,0.01,0.63,0.77
2461,0.01,0.63,0.77
2471,0.00,0.63,0.77
2480,0.01,0.64,0.77
2490,0.02,0.64,0.77
2500,0.01,0.64,0.77
2509,0.01,0.64,0.77
2519,0.00,0.64,0.78
2528,0.01,0.63,0.77
2538,-0.00,0.63,0.77
2548,-0.01,0.64,0.77
2557,-0.00,0.65,0.76
2567,-0.00,0.64,0.74
2576,-0.01,0.65,0.75
2586,-0.01,0.64,0.75
2596,-0.01,0.64,0.75
2605,-0.01,0.64,0.75
2615,0.00,0.64,0.75
2625,0.01,0.64,0.74
2634,0.01,0.64,0.74
2644,0.01,0.66,0.74
2653,0.01,0.66,0.75
2663,0.01,0.66,0.76
2673,0.00,0.65,0.76
2682,0.00,0.63,0.77
2692,-0.00,0.62,0.78
2701,0.00,0.63,0.78
2711,0.01,0.63,0.78
2721,0.01,0.63,0.77
2730,0.01,0.63,0.77
2740,0.01,0.64,0.76
2750,0.01,0.64,0.76
2759,0.00,0.64,0.76
