timestamp,Q,I,F,phase_deg
23.0,-17.6,8.0,131328,-65.56
54.0,8.6,26.5,4104,17.98
85.0,-6.0,18.2,131328,-18.25
116.0,9.1,26.6,4104,18.89
148.0,-6.2,18.3,131328,-18.72
179.0,8.6,26.9,4104,17.73
210.0,-6.1,18.3,131328,-18.43
241.0,8.9,26.7,4104,18.43
272.0,-6.1,18.4,131328,-18.34
304.0,9.0,26.7,4104,18.63
335.0,-6.0,18.4,131328,-18.06
366.0,8.5,26.6,4104,17.72
397.0,-5.8,18.1,131328,-17.77
428.0,8.6,26.9,4104,17.73
460.0,-5.9,18.3,131328,-17.87
491.0,8.9,26.6,4104,18.50
522.0,-5.9,18.3,131328,-17.87
553.0,8.9,26.8,4104,18.37
584.0,-5.7,18.4,131328,-17.21
615.0,9.0,26.6,4104,18.69
647.0,-6.0,18.3,131328,-18.15
678.0,8.6,26.4,4104,18.04
709.0,-5.8,18.4,131328,-17.50
740.0,8.6,26.7,4104,17.85
771.0,-5.8,18.3,131328,-17.59
803.0,8.6,26.4,4104,18.04
834.0,-5.9,18.5,131328,-17.69
865.0,7.9,26.7,4104,16.48
896.0,-5.9,18.5,131328,-17.69
927.0,9.2,26.9,4104,18.88
959.0,-6.0,18.4,131328,-18.06
990.0,8.8,27.0,4104,18.05
1021.0,-5.9,18.5,131328,-17.69
1052.0,8.6,27.0,4104,17.67
1083.0,-5.8,18.6,131328,-17.32
1115.0,8.4,26.9,4104,17.34
1146.0,-5.8,18.5,131328,-17.41
1177.0,9.2,26.7,4104,19.01
1208.0,-5.9,18.5,131328,-17.69
1239.0,8.9,26.8,4104,18.37
1270.0,-5.8,18.4,131328,-17.50
1302.0,8.8,26.4,4104,18.43
1333.0,-5.8,18.5,131328,-17.41
1364.0,8.5,26.9,4104,17.54
1395.0,-5.7,18.5,131328,-17.12
1426.0,8.5,26.7,4104,17.66
1458.0,-5.8,18.4,131328,-17.50
1489.0,8.4,26.6,4104,17.53
1520.0,-5.9,18.4,131328,-17.78
1551.0,8.6,27.0,4104,17.67
1582.0,-5.7,18.6,131328,-17.04
1614.0,9.2,26.8,4104,18.95
1645.0,-5.9,18.8,131328,-17.42
1676.0,8.5,26.9,4104,17.54
1707.0,-5.8,18.9,131328,-17.06
1738.0,8.9,27.2,4104,18.12
1769.0,-6.0,19.4,131328,-17.19
1801.0,8.6,27.1,4104,17.61
1832.0,-6.0,19.3,131328,-17.27
1863.0,9.5,27.3,4104,19.19
1894.0,-5.8,19.6,131328,-16.48
1925.0,8.6,26.9,4104,17.73
1957.0,-5.8,19.6,131328,-16.48
1988.0,8.8,27.4,4104,17.81
2019.0,-6.0,19.8,131328,-16.86
2050.0,9.4,27.6,4104,18.81
2081.0,-6.0,19.8,131328,-16.86
2113.0,9.0,27.5,4104,18.12
2144.0,-5.7,20.2,131328,-15.76
2175.0,9.0,27.7,4104,18.00
2206.0,-5.9,20.4,131328,-16.13
2237.0,9.1,27.9,4104,18.06
2269.0,-5.7,20.7,131328,-15.40
2300.0,10.0,28.3,4104,19.46
2331.0,-5.8,21.3,131328,-15.23
2362.0,9.3,28.7,4104,17.95
2393.0,-5.8,21.6,131328,-15.03
2424.0,9.5,28.6,4104,18.37
2456.0,-5.7,22.1,131328,-14.46
2487.0,9.7,28.9,4104,18.55
2518.0,-5.7,22.7,131328,-14.10
2549.0,10.5,29.5,4104,19.59
2580.0,-5.4,23.3,131328,-13.05
2612.0,9.9,29.7,4104,18.43
2643.0,-5.7,23.7,131328,-13.52
2674.0,10.0,30.1,4104,18.38
2705.0,-5.6,24.3,131328,-12.98
2736.0,10.1,30.3,4104,18.43
2768.0,-5.6,24.8,131328,-12.72
2799.0,10.9,30.5,4104,19.67
2830.0,-5.7,25.3,131328,-12.70
2861.0,11.1,30.6,4104,19.94
2892.0,-5.5,25.9,131328,-11.99
2923.0,10.8,31.6,4104,18.87
2955.0,-5.5,26.5,131328,-11.73
2986.0,11.4,31.7,4104,19.78
3017.0,-5.6,27.1,131328,-11.68
3048.0,11.9,32.2,4104,20.28
3079.0,-5.7,27.7,131328,-11.63
3111.0,11.2,32.8,4104,18.85
3142.0,-5.8,28.2,131328,-11.62
3173.0,12.0,33.0,4104,19.98
3204.0,-5.7,28.7,131328,-11.23
3235.0,12.0,33.0,4104,19.98
3267.0,-5.7,29.0,131328,-11.12
3298.0,12.4,33.3,4104,20.42
3329.0,-5.8,29.1,131328,-11.27
3360.0,12.1,33.1,4104,20.08
3391.0,-5.6,29.2,131328,-10.86
3423.0,12.1,33.4,4104,19.91
3454.0,-5.7,29.2,131328,-11.05
3485.0,11.7,33.5,4104,19.25
3516.0,-5.8,29.1,131328,-11.27
3547.0,11.6,33.4,4104,19.15
3578.0,-5.8,29.2,131328,-11.23
3610.0,12.1,33.3,4104,19.97
3641.0,-5.7,29.1,131328,-11.08
3672.0,11.7,33.1,4104,19.47
3703.0,-5.8,28.8,131328,-11.39
3734.0,11.6,33.4,4104,19.15
3766.0,-5.6,28.8,131328,-11.00
3797.0,11.1,32.9,4104,18.64
3828.0,-5.8,28.6,131328,-11.46
3859.0,11.4,32.8,4104,19.17
3890.0,-5.8,28.4,131328,-11.54
3922.0,11.4,32.4,4104,19.38
3953.0,-5.6,27.8,131328,-11.39
3984.0,11.3,31.9,4104,19.51
4015.0,-5.7,27.3,131328,-11.79
4046.0,11.3,31.5,4104,19.73
4077.0,-5.3,27.1,131328,-11.07
4109.0,11.4,31.5,4104,19.90
4140.0,-5.4,26.6,131328,-11.48
4171.0,10.9,31.4,4104,19.14
4202.0,-5.5,26.2,131328,-11.86
4233.0,10.8,30.8,4104,19.32
4265.0,-5.5,25.8,131328,-12.03
4296.0,11.0,31.1,4104,19.48
4327.0,-5.3,25.5,131328,-11.74
4358.0,11.2,30.6,4104,20.10
4389.0,-5.3,25.1,131328,-11.92
4421.0,10.4,29.9,4104,19.18
4452.0,-5.4,24.7,131328,-12.33
4483.0,10.6,29.9,4104,19.52
4514.0,-5.3,24.2,131328,-12.35
4545.0,10.1,29.6,4104,18.84
4576.0,-5.6,23.7,131328,-13.29
4608.0,9.9,29.7,4104,18.43
4639.0,-5.7,23.3,131328,-13.75
4670.0,10.4,29.3,4104,19.54
4701.0,-5.4,23.0,131328,-13.21
4732.0,10.6,29.2,4104,19.95
4764.0,-5.5,22.8,131328,-13.56
4795.0,10.1,29.0,4104,19.20
4826.0,-5.6,22.2,131328,-14.16
4857.0,9.7,29.0,4104,18.49
4888.0,-5.7,22.0,131328,-14.53
4920.0,10.2,28.7,4104,19.57
4951.0,-5.7,21.7,131328,-14.72
4982.0,10.2,28.6,4104,19.63
5013.0,-5.5,21.6,131328,-14.29
5044.0,10.0,28.4,4104,19.40
5076.0,-5.7,21.3,131328,-14.98
5107.0,10.0,28.3,4104,19.46
5138.0,-5.6,21.2,131328,-14.80
5169.0,9.4,28.0,4104,18.56
5200.0,-5.7,20.9,131328,-15.26
5231.0,10.0,28.2,4104,19.53
5263.0,-5.7,20.9,131328,-15.26
5294.0,9.2,28.3,4104,18.01
5325.0,-5.8,20.9,131328,-15.51
5356.0,9.6,28.0,4104,18.92
5387.0,-5.8,20.5,131328,-15.80
5419.0,9.1,27.8,4104,18.13
5450.0,-5.8,20.4,131328,-15.87
5481.0,9.2,27.8,4104,18.31
5512.0,-5.8,20.2,131328,-16.02
5543.0,9.1,28.0,4104,18.00
5575.0,-5.8,20.2,131328,-16.02
5606.0,9.2,27.6,4104,18.43
5637.0,-5.4,20.1,131328,-15.04
5668.0,9.0,27.9,4104,17.88
5699.0,-5.9,19.9,131328,-16.51
5730.0,9.0,28.0,4104,17.82
5762.0,-5.9,19.9,131328,-16.51
5793.0,9.3,27.4,4104,18.75
5824.0,-5.8,19.8,131328,-16.33
5855.0,9.1,27.8,4104,18.13
5886.0,-5.8,19.7,131328,-16.41
5918.0,9.3,27.5,4104,18.68
5949.0,-5.8,19.8,131328,-16.33
5980.0,9.6,27.6,4104,19.18
6011.0,-5.8,19.7,131328,-16.41
6042.0,9.1,27.8,4104,18.13
6074.0,-5.9,19.6,131328,-16.75
6105.0,8.8,27.5,4104,17.74
6136.0,-5.8,19.5,131328,-16.56
6167.0,9.0,27.3,4104,18.25
6198.0,-5.8,19.6,131328,-16.48
6230.0,9.0,27.8,4104,17.94
6261.0,-5.8,19.7,131328,-16.41
6292.0,9.1,27.2,4104,18.50
6323.0,-5.9,19.6,131328,-16.75
6354.0,9.2,27.4,4104,18.56
6385.0,-5.8,19.6,131328,-16.48
6417.0,9.4,27.5,4104,18.87
6448.0,-5.9,19.6,131328,-16.75
6479.0,9.0,27.3,4104,18.25
6510.0,-5.9,19.5,131328,-16.83
6541.0,9.2,27.4,4104,18.56
6573.0,-5.9,19.5,131328,-16.83
6604.0,8.7,27.5,4104,17.56
6635.0,-5.9,19.7,131328,-16.67
6666.0,9.2,27.5,4104,18.50
6697.0,-5.9,19.6,131328,-16.75
6729.0,9.1,27.7,4104,18.19
6760.0,-5.9,19.5,131328,-16.83
6791.0,8.9,27.3,4104,18.06
6822.0,-5.8,19.4,131328,-16.65
6853.0,9.0,27.2,4104,18.31
6884.0,-5.9,19.7,131328,-16.67
6916.0,9.4,27.4,4104,18.94
