timestamp,Q,I
0,-77.47,295.31,4104.00
19,208.31,417.41,131328.00
38,-79.26,301.20,4104.00
58,135.93,409.33,131328.00
77,-76.21,305.24,4104.00
97,129.98,408.14,131328.00
116,-77.60,306.43,4104.00
136,129.64,408.33,131328.00
155,-76.61,306.50,4104.00
175,137.92,409.46,131328.00
194,-78.53,306.63,4104.00
214,136.60,408.60,131328.00
233,-77.54,307.82,4104.00
253,130.90,409.33,131328.00
272,-76.67,310.67,4104.00
292,131.43,409.73,131328.00
311,-76.87,310.21,4104.00
331,132.03,409.79,131328.00
350,-75.75,312.33,4104.00
370,135.80,414.76,131328.00
389,-76.41,312.99,4104.00
409,132.69,410.72,131328.00
428,-76.41,314.44,4104.00
448,141.23,415.82,131328.00
467,-75.95,315.11,4104.00
487,133.15,412.37,131328.00
506,-75.75,317.82,4104.00
526,139.44,413.96,131328.00
545,-76.61,317.89,4104.00
565,138.38,417.74,131328.00
584,-75.55,318.55,4104.00
604,134.74,414.36,131328.00
623,-76.14,321.53,4104.00
643,141.76,417.47,131328.00
662,-76.34,321.13,4104.00
682,134.74,416.41,131328.00
701,-75.28,322.19,4104.00
721,139.91,418.99,131328.00
740,-77.27,322.85,4104.00
760,138.65,419.46,131328.00
779,-75.62,325.83,4104.00
799,138.25,417.01,131328.00
818,-75.68,326.89,4104.00
838,136.73,417.01,131328.00
857,-75.28,329.01,4104.00
877,144.15,423.36,131328.00
896,-74.89,330.27,4104.00
916,141.70,420.52,131328.00
935,-74.56,331.99,4104.00
955,139.71,423.03,131328.00
974,-75.35,332.39,4104.00
994,145.60,424.69,131328.00
1013,-75.62,333.78,4104.00
1033,139.05,422.04,131328.00
1052,-76.41,335.17,4104.00
1072,139.91,424.62,131328.00
1091,-75.09,337.09,4104.00
1111,148.91,427.93,131328.00
1130,-76.41,338.74,4104.00
1150,140.17,423.30,131328.00
1169,-76.01,339.74,4104.00
1189,142.89,427.93,131328.00
1208,-74.62,341.13,4104.00
1228,141.63,425.15,131328.00
1247,-76.34,341.92,4104.00
1267,142.49,429.92,131328.00
1286,-75.28,343.05,4104.00
1306,148.32,429.19,131328.00
1325,-75.48,343.91,4104.00
1345,141.96,427.80,131328.00
1364,-75.88,344.97,4104.00
1384,141.83,426.74,131328.00
1403,-73.23,346.76,4104.00
1423,149.51,433.10,131328.00
1442,-74.95,347.42,4104.00
1461,151.43,431.84,131328.00
1481,-74.82,348.54,4104.00
1500,150.10,434.22,131328.00
1520,-74.16,350.46,4104.00
1539,143.35,431.38,131328.00
1559,-73.36,352.72,4104.00
1578,147.52,432.77,131328.00
1598,-74.42,354.57,4104.00
1617,146.79,436.81,131328.00
1637,-73.30,356.42,4104.00
1656,152.55,437.47,131328.00
1676,-74.16,357.15,4104.00
1695,145.01,436.34,131328.00
1715,-73.10,359.67,4104.00
1734,147.79,439.92,131328.00
1754,-74.49,360.66,4104.00
1773,154.01,442.77,131328.00
1793,-73.17,361.52,4104.00
1812,148.52,437.20,131328.00
1832,-74.95,363.38,4104.00
1851,150.04,438.86,131328.00
1871,-74.29,365.10,4104.00
1890,155.53,444.02,131328.00
1910,-73.69,367.22,4104.00
1929,148.58,442.04,131328.00
1949,-74.62,367.81,4104.00
1968,153.68,445.68,131328.00
1988,-73.83,370.46,4104.00
2007,150.77,445.88,131328.00
2027,-73.89,370.06,4104.00
2046,151.43,445.08,131328.00
2066,-73.69,371.12,4104.00
2085,157.39,446.41,131328.00
2105,-74.42,373.51,4104.00
2124,151.49,448.33,131328.00
2144,-73.83,375.43,4104.00
2163,157.59,447.47,131328.00
2183,-75.28,376.09,4104.00
2202,151.30,447.40,131328.00
2222,-73.76,379.27,4104.00
2241,152.82,450.05,131328.00
2261,-75.22,380.59,4104.00
2280,152.75,449.78,131328.00
2300,-73.96,383.11,4104.00
2319,155.60,450.78,131328.00
2339,-75.28,384.23,4104.00
2358,154.47,452.30,131328.00
2378,-75.55,386.29,4104.00
2397,156.20,456.87,131328.00
2417,-75.48,388.80,4104.00
2436,157.32,454.42,131328.00
2456,-76.28,388.80,4104.00
2475,157.32,459.12,131328.00
2495,-76.48,390.39,4104.00
2514,156.86,458.52,131328.00
2534,-77.07,392.11,4104.00
2553,164.47,459.58,131328.00
2573,-77.01,393.11,4104.00
2592,156.99,457.13,131328.00
2612,-76.34,394.03,4104.00
2631,157.06,458.33,131328.00
2651,-75.68,394.23,4104.00
2670,157.59,457.60,131328.00
2690,-76.48,396.95,4104.00
2709,156.99,460.05,131328.00
2729,-75.75,397.08,4104.00
2748,165.66,463.75,131328.00
2768,-76.01,399.53,4104.00
2787,157.79,462.23,131328.00
2807,-76.14,399.06,4104.00
2826,165.80,467.73,131328.00
2846,-76.14,402.04,4104.00
2865,167.52,468.46,131328.00
2884,-78.66,403.57,4104.00
2904,168.45,467.79,131328.00
2923,-78.20,404.23,4104.00
2943,159.57,467.79,131328.00
2962,-77.01,406.22,4104.00
2982,161.63,469.52,131328.00
3001,-77.07,407.14,4104.00
3021,161.56,470.51,131328.00
3040,-77.07,408.53,4104.00
3060,163.08,472.03,131328.00
3079,-78.00,409.00,4104.00
3099,165.93,470.84,131328.00
3118,-78.46,409.92,4104.00
3138,162.16,470.71,131328.00
3157,-78.59,410.19,4104.00
3177,163.41,469.85,131328.00
3196,-78.86,411.65,4104.00
3216,169.77,475.54,131328.00
3235,-77.93,410.92,4104.00
3255,168.38,474.61,131328.00
3274,-78.40,411.51,4104.00
3294,165.13,472.83,131328.00
3313,-79.46,411.38,4104.00
3333,162.68,469.98,131328.00
3352,-78.73,410.85,4104.00
3372,164.41,472.63,131328.00
3391,-77.67,410.06,4104.00
3411,169.24,475.47,131328.00
3430,-78.99,411.12,4104.00
3450,167.12,474.42,131328.00
3469,-78.13,411.38,4104.00
3489,163.61,469.85,131328.00
3508,-78.40,411.65,4104.00
3528,164.14,473.62,131328.00
3547,-78.53,411.58,4104.00
3567,164.74,473.22,131328.00
3586,-78.40,412.77,4104.00
3606,166.72,473.69,131328.00
3625,-79.65,410.72,4104.00
3645,164.67,473.75,131328.00
3664,-79.26,411.25,4104.00
3684,163.02,471.04,131328.00
3703,-78.73,411.38,4104.00
3723,164.01,473.69,131328.00
3742,-78.53,410.92,4104.00
3762,167.72,475.34,131328.00
3781,-77.07,411.51,4104.00
3801,164.67,473.55,131328.00
3820,-78.99,411.38,4104.00
3840,161.76,469.78,131328.00
3859,-78.33,408.53,4104.00
3879,167.25,472.83,131328.00
3898,-78.33,408.47,4104.00
3918,164.27,470.77,131328.00
3937,-76.87,407.47,4104.00
3957,163.74,466.54,131328.00
3976,-78.06,404.56,4104.00
3996,166.72,469.58,131328.00
4015,-77.07,402.71,4104.00
4035,158.98,464.48,131328.00
4054,-77.60,400.52,4104.00
4074,160.70,464.88,131328.00
4093,-75.22,399.06,4104.00
4113,157.85,459.91,131328.00
4132,-76.28,398.47,4104.00
4152,165.33,461.57,131328.00
4171,-76.01,395.16,4104.00
4191,160.43,460.64,131328.00
4210,-77.14,392.44,4104.00
4230,156.20,454.22,131328.00
4249,-76.34,389.93,4104.00
4269,156.86,457.60,131328.00
4288,-76.08,389.00,4104.00
4307,159.71,457.20,131328.00
4327,-77.60,386.55,4104.00
4346,153.81,450.38,131328.00
4366,-74.36,384.56,4104.00
4385,152.09,449.72,131328.00
4405,-74.95,382.78,4104.00
4424,153.94,451.64,131328.00
4444,-74.56,379.66,4104.00
4463,159.71,449.32,131328.00
4483,-73.89,376.88,4104.00
4502,150.50,444.82,131328.00
4522,-75.15,375.82,4104.00
4541,150.83,441.57,131328.00
4561,-73.96,372.98,4104.00
4580,149.51,441.11,131328.00
4600,-73.36,370.79,4104.00
4619,149.91,441.84,131328.00
4639,-73.56,368.14,4104.00
4658,149.24,440.32,131328.00
4678,-74.89,365.03,4104.00
