timestamp,Q,I,F
3953.0,-58.7,313.9,4104
3972.0,127.5,363.4,131328
3992.0,-58.5,310.7,4104
4011.0,133.9,368.1,131328
4031.0,-59.9,310.4,4104
4050.0,133.6,367.0,131328
4070.0,-60.7,308.5,4104
4089.0,124.0,358.3,131328
4109.0,-59.3,307.0,4104
4128.0,131.4,362.3,131328
4148.0,-59.3,304.5,4104
4167.0,127.5,359.3,131328
4187.0,-59.7,303.5,4104
4206.0,123.7,357.5,131328
4226.0,-60.5,303.3,4104
4245.0,126.4,361.3,131328
4265.0,-58.7,302.1,4104
4284.0,125.8,357.2,131328
4304.0,-59.7,302.7,4104
4323.0,125.9,359.2,131328
4343.0,-60.5,299.7,4104
4362.0,127.1,360.3,131328
4382.0,-59.9,298.0,4104
4401.0,129.6,359.2,131328
4421.0,-58.1,298.0,4104
4440.0,123.6,356.8,131328
4460.0,-59.4,296.6,4104
4479.0,128.1,356.4,131328
4499.0,-59.1,295.5,4104
4518.0,129.0,356.9,131328
4538.0,-60.0,294.2,4104
4557.0,125.4,353.4,131328
4576.0,-57.7,292.7,4104
4596.0,127.5,356.6,131328
4615.0,-59.9,292.3,4104
4635.0,121.2,352.7,131328
4654.0,-58.9,290.8,4104
4674.0,124.3,352.1,131328
4693.0,-60.3,289.8,4104
4713.0,123.9,350.6,131328
4732.0,-58.9,288.5,4104
4752.0,124.2,353.4,131328
4771.0,-60.7,287.2,4104
4791.0,126.9,352.5,131328
4810.0,-60.5,286.4,4104
4830.0,126.3,351.0,131328
4849.0,-59.9,284.1,4104
4869.0,120.1,350.0,131328
4888.0,-61.0,284.1,4104
4908.0,119.1,346.8,131328
4927.0,-59.3,283.1,4104
4947.0,125.9,351.2,131328
4966.0,-59.9,281.8,4104
4986.0,122.8,347.5,131328
5005.0,-60.7,281.3,4104
5025.0,118.4,344.4,131328
5044.0,-61.0,280.8,4104
5064.0,121.8,346.8,131328
5083.0,-60.9,280.2,4104
5103.0,117.9,344.0,131328
5122.0,-59.9,279.2,4104
5142.0,125.5,348.9,131328
5161.0,-61.2,278.7,4104
5181.0,120.5,344.8,131328
5200.0,-60.3,278.2,4104
5220.0,125.2,346.9,131328
5239.0,-60.5,276.6,4104
5259.0,117.7,346.0,131328
5278.0,-59.5,277.1,4104
5298.0,125.3,346.3,131328
5317.0,-59.9,276.6,4104
5337.0,119.5,342.9,131328
5356.0,-58.8,275.6,4104
5376.0,119.8,343.2,131328
5395.0,-60.8,274.2,4104
5415.0,125.4,346.4,131328
5434.0,-60.7,274.7,4104
5454.0,117.3,344.9,131328
5473.0,-60.9,273.5,4104
5493.0,115.7,341.6,131328
5512.0,-61.3,273.6,4104
5532.0,115.8,341.8,131328
5551.0,-60.3,273.9,4104
5571.0,116.3,341.0,131328
5590.0,-60.7,273.4,4104
5610.0,115.6,340.8,131328
5629.0,-61.2,274.5,4104
5649.0,116.5,342.2,131328
5668.0,-60.2,271.5,4104
5688.0,120.8,342.6,131328
5707.0,-60.1,271.3,4104
5727.0,122.6,345.4,131328
5746.0,-60.8,271.7,4104
5766.0,124.9,343.8,131328
5785.0,-61.7,269.9,4104
5805.0,123.3,343.4,131328
5824.0,-61.0,270.7,4104
5844.0,121.0,344.2,131328
5863.0,-61.5,269.8,4104
5883.0,122.9,344.2,131328
5902.0,-61.6,270.6,4104
5922.0,121.3,342.1,131328
5941.0,-60.6,269.8,4104
5961.0,114.4,338.4,131328
5980.0,-60.5,270.1,4104
6000.0,118.1,342.9,131328
6019.0,-59.4,269.6,4104
6038.0,120.8,343.8,131328
6058.0,-60.5,269.8,4104
6077.0,116.3,342.3,131328
6097.0,-61.4,269.1,4104
6116.0,125.1,343.1,131328
6136.0,-60.6,268.1,4104
6155.0,122.6,343.8,131328
6175.0,-61.6,268.2,4104
6194.0,116.8,339.1,131328
6214.0,-61.4,268.6,4104
6233.0,122.4,342.9,131328
6253.0,-61.7,269.6,4104
6272.0,118.3,340.5,131328
6292.0,-61.6,269.8,4104
6311.0,119.4,343.9,131328
6331.0,-60.6,270.6,4104
6350.0,118.9,344.2,131328
6370.0,-61.0,271.1,4104
6389.0,118.6,341.7,131328
6409.0,-59.3,272.1,4104
6428.0,119.6,342.7,131328
6448.0,-60.1,272.7,4104
6467.0,118.5,345.0,131328
6487.0,-60.7,272.6,4104
6506.0,122.9,347.2,131328
6526.0,-59.3,273.7,4104
6545.0,124.5,345.4,131328
6565.0,-62.1,275.5,4104
6584.0,117.0,342.7,131328
6604.0,-61.4,275.9,4104
6623.0,117.9,346.7,131328
6643.0,-61.7,276.7,4104
6662.0,118.3,346.0,131328
6682.0,-60.5,277.0,4104
6701.0,118.1,346.9,131328
6721.0,-61.1,278.5,4104
6740.0,126.1,347.5,131328
6760.0,-59.5,279.2,4104
6779.0,126.1,348.5,131328
6799.0,-59.5,279.7,4104
6818.0,119.5,345.3,131328
6838.0,-61.2,281.2,4104
6857.0,119.8,350.2,131328
6877.0,-60.4,282.6,4104
6896.0,122.2,347.7,131328
6916.0,-60.5,284.8,4104
6935.0,120.6,350.6,131328
6955.0,-60.1,286.2,4104
6974.0,128.1,351.8,131328
6994.0,-59.9,286.6,4104
7013.0,120.8,350.3,131328
7033.0,-60.2,288.7,4104
7052.0,122.0,350.4,131328
7072.0,-60.1,288.8,4104
7091.0,124.5,355.5,131328
7111.0,-59.6,290.9,4104
7130.0,129.1,357.3,131328
7150.0,-61.5,292.5,4104
7169.0,129.6,357.8,131328
7189.0,-60.6,294.6,4104
7208.0,128.6,359.2,131328
7228.0,-60.5,294.9,4104
7247.0,124.0,356.8,131328
7267.0,-59.9,297.4,4104
7286.0,125.9,356.8,131328
7306.0,-60.5,298.0,4104
7325.0,130.5,360.2,131328
7345.0,-59.0,299.4,4104
7364.0,124.4,359.9,131328
7384.0,-59.9,298.8,4104
7403.0,130.6,360.2,131328
7423.0,-60.7,299.9,4104
7442.0,128.2,357.6,131328
7461.0,-59.9,301.1,4104
7481.0,131.8,360.3,131328
7500.0,-59.5,301.5,4104
7520.0,127.1,357.4,131328
7539.0,-62.4,301.9,4104
7559.0,124.8,358.5,131328
7578.0,-59.5,302.2,4104
7598.0,132.2,363.5,131328
7617.0,-59.2,304.5,4104
7637.0,128.3,360.3,131328
7656.0,-59.3,305.9,4104
7676.0,128.1,364.7,131328
7695.0,-60.5,307.4,4104
7715.0,128.6,362.1,131328
